IdExtraccion|NombreExtraccion|IdConfiguracionGeneracionArchivos|Tema|NombreArchivoDestino|IdGeneracionArchivoMaestra|IndRegulatorio|DatoObligatorio|NBSynapse|ValorDeltaInicial|ValorDeltaFinal|FechaDeltaInicial|FechaDeltaFinal|PLSynapse|tipo_liqui|estado_deltas|EstadoPipeline|Descripcion|Ejecucion|FechaInicioEjecucion|Estado|EstadoDeltasXM
481|Multifuente_25_FacturasUNR|5F4E976F-7D72-48D5-95AD-5A47B8CE0A07|InfoPreciosyCantidadesMercadoNoRegulado|FacturacionUNRHorariaComercializadorTotalSIN||true|true|nb_general_simple|2024-08-01|2024-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:52.930Z|Finalizado|Deltas OK!
481|Multifuente_25_FacturasUNR|5F808230-F67F-447C-9535-B4BBFC08F2B3|InfoPreciosyCantidadesMercadoNoRegulado|FacturacionUNRTotalSIN||true|true|NB_InfoPreciosyCantidadesMercadoNoRegulado_FacturacionUNRTotalSIN|2024-08-01|2024-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:52.940Z|Finalizado|Deltas OK!
456|9.1_ListadoAgentesRegistrados|629B6D7A-FE18-4779-BBD2-672B24199022|EstadisticasCalidad|OportunidadEntregaInformacionLP||true|true|nb_general_simple|2024-01-01|2024-12-31|2024-01-01T00:00:00.000Z|2024-12-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-05-21T09:31:09.217Z|Finalizado|Deltas OK!
898|Multifuente_38_ReporteContratosLP|629B6D7A-FE18-4779-BBD2-672B24199022|EstadisticasCalidad|OportunidadEntregaInformacionLP||true|true|nb_general_simple|2024-01-01|2024-12-31|2024-01-01T00:00:00.000Z|2024-12-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-05-21T09:31:09.217Z|Finalizado|Problemas con deltas, se tienen 2024-06-01 y 2024-06-30, deberian ser 2024-09-01 y 2024-09-30 respectivamente.
481|Multifuente_25_FacturasUNR|7B756BA8-4CB6-497D-98C0-2689508CDAD7|InfoPreciosyCantidadesMercadoNoRegulado|FacturacionUNRHorariaTotalSIN||true|true|nb_general_simple|2024-08-01|2024-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:53.750Z|Finalizado|Deltas OK!
372|18_PrecioOfertaArranqueParadaRecursoUSD|90980975-7D16-4EA7-AEE3-CBE44C99B323|InformacionOfertasdePreciosMEM|PrecioOfertaArranqueParadaTrimestral||true|true|NB_InformacionOfertasdePreciosMEM_PrecioOfertaArranqueParadaTrimestral|2024-10-01|2024-10-31|2024-10-01T00:00:00.000Z|2024-10-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-27T10:45:57.363Z|Finalizado|Deltas OK!
477|Multifuente_25_CantidadesUNR|A6DCC1A0-FF5A-40E2-B157-6B0729EE0A3E|InfoPreciosyCantidadesMercadoNoRegulado|PreciosFuturosUNRMC||true|true|nb_general_simple|2024-09-01|2029-08-31|2024-09-01T00:00:00.000Z|2029-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:52.590Z|Finalizado|Deltas OK!
478|Multifuente_25_PreciosUNR|A6DCC1A0-FF5A-40E2-B157-6B0729EE0A3E|InfoPreciosyCantidadesMercadoNoRegulado|PreciosFuturosUNRMC||true|true|nb_general_simple|2024-09-01|2029-08-31|2024-09-01T00:00:00.000Z|2029-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:52.590Z|Finalizado|Deltas OK!
477|Multifuente_25_CantidadesUNR|AC949213-9527-45B4-82A8-3A2EB3A2B3CF|InfoPreciosyCantidadesMercadoNoRegulado|PreciosFuturosHorariosUNRTotalSIN||true|true|nb_general_simple|2024-09-01|2029-08-31|2024-09-01T00:00:00.000Z|2029-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:49.777Z|Finalizado|Deltas OK!
478|Multifuente_25_PreciosUNR|AC949213-9527-45B4-82A8-3A2EB3A2B3CF|InfoPreciosyCantidadesMercadoNoRegulado|PreciosFuturosHorariosUNRTotalSIN||true|true|nb_general_simple|2024-09-01|2029-08-31|2024-09-01T00:00:00.000Z|2029-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:49.777Z|Finalizado|Deltas OK!
266|12_PreciosDeEscasez|AE3F2310-154D-4391-B17C-081A83BC6E0F|InfoCargoPorConfiabilidad|PreciosDeEscasez||true|true|nb_general_simple|2024-09-01|2024-09-30|2024-09-01T00:00:00.000Z|2024-09-30T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-06T04:08:36.047Z|Finalizado|Deltas OK!
884|Multifuente_21_ReporteContratosUNR|AEE7B301-4E49-4AB5-B5DD-B75AA46B05B4|EstadisticasCalidad|OportunidadEntregaInformacionUNR||true|true|nb_general_simple|2024-01-01|2024-12-31|2024-01-01T00:00:00.000Z|2024-12-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-05-20T17:57:03.880Z|Finalizado|Deltas OK!
456|9.1_ListadoAgentesRegistrados|AEE7B301-4E49-4AB5-B5DD-B75AA46B05B4|EstadisticasCalidad|OportunidadEntregaInformacionUNR||true|true|nb_general_simple|2024-01-01|2024-12-31|2024-01-01T00:00:00.000Z|2024-12-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-05-20T17:57:03.880Z|Finalizado|Deltas OK!
884|Multifuente_21_ReporteContratosUNR|B0898698-218A-46FB-BA84-2A88A402C492|RegistroContratos|21_IncumplimientosContratosUNRMensual||true|true|nb_general_simple|2024-08-01|2024-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Error|"Guardado - Error de valor - No se pudo crear la vista para el dataset 21_IncumplimientosContratosUNRMensual, Error: ('42000', \"[42000] [Microsoft][ODBC Driver 18 for SQL Server][SQL Server]Incorrect syntax near '.21'. (102) (SQLExecDirectW)\")"||2024-08-02T07:10:11.510Z|Fallido|Deltas OK!
368|18_PrecioOfertaGeneradores|B1189F52-1F3C-429B-B1C5-34AF0AC860F7|InformacionOfertasdePreciosMEM|PrecioOfertaRecurso||true|true|nb_general_simple|2024-08-01|2024-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-01T07:08:24.093Z|Finalizado|Deltas OK!
371|18_PrecioOfertaPlantaConfiguracion|B180058C-52DD-42C3-A93A-F44003AA2D43|InformacionOfertasdePreciosMEM|PrecioOfertaPlantaConfiguracionOfertada||true|true|nb_general_simple|2024-08-01|2023-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-26T16:30:29.853Z|Finalizado|Deltas OK!
481|Multifuente_25_FacturasUNR|B1CCC4FD-231A-4415-A742-8BD662B3E4BF|InfoPreciosyCantidadesMercadoNoRegulado|FacturacionUNRMC||true|true|NB_InfoPreciosyCantidadesMercadoNoRegulado_FacturacionUNRMC|2024-08-01|2024-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:52.907Z|Finalizado|Deltas OK!
477|Multifuente_25_CantidadesUNR|B73E3C9E-6B98-47E0-93CA-CC6F6D2D4F29|InfoPreciosyCantidadesMercadoNoRegulado|CantidadesUNRMC||true|true|NB_InfoPreciosyCantidadesMercadoNoRegulado_CantidadesUNRMC|2024-08-01|2024-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:53.013Z|Finalizado|Deltas OK!
590|10_Analisis_Electrico_MP|CAEFF05C-A2F3-48AC-8652-BA5F76A926EC|InformacionOperativaPeriodicaSIN|InformePlaneamientoOperativoElectricoMedianoPlazo||true|true|NB_InformacionOperativaPeriodicaSIN_AnalisisEnergeticoMedianoPLazo|2024-07-01|2024-09-30|2024-07-01T00:00:00.000Z|2024-09-30T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-07-02T10:12:27.520Z|Finalizado|Deltas OK!
481|Multifuente_25_FacturasUNR|D66C2593-D6EE-4D0F-86F6-F040E6BB3DF8|InfoPreciosyCantidadesMercadoNoRegulado|FacturacionUNRHorariaMC||true|true|NB_InfoPreciosyCantidadesMercadoNoRegulado_FacturacionUNRHorariaMC|2024-08-01|2024-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:52.927Z|Finalizado|Deltas OK!
521|25_27_29_31_DemandaComercializadorRegyNoReg|DA2A88FB-5E33-493B-84D6-602CAEC7C9D9|InfoPreciosyCantidadesMercadoNoRegulado|CoberturaUNR||true|true|NB_InfoPreciosyCantidadesMercadoNoRegulado_CoberturaUNR|2024-09-01|2029-08-31|2024-08-01T00:00:00.000Z|2024-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:54.040Z|Finalizado|Deltas OK!
477|Multifuente_25_CantidadesUNR|DA2A88FB-5E33-493B-84D6-602CAEC7C9D9|InfoPreciosyCantidadesMercadoNoRegulado|CoberturaUNR||true|true|NB_InfoPreciosyCantidadesMercadoNoRegulado_CoberturaUNR|2024-09-01|2029-08-31|2024-09-01T00:00:00.000Z|2029-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:54.040Z|Finalizado|Deltas OK!
207|27_29_31_DemandaUPME|DA2A88FB-5E33-493B-84D6-602CAEC7C9D9|InfoPreciosyCantidadesMercadoNoRegulado|CoberturaUNR||true|true|NB_InfoPreciosyCantidadesMercadoNoRegulado_CoberturaUNR|2024-09-01|2029-08-31|2024-09-01T00:00:00.000Z|2029-08-31T00:00:00.000Z|||Deltas OK!|Finalizado|||2024-08-20T03:06:54.040Z|Finalizado|Deltas OK!
